[group4] AI MYSQL AUTOMATED TESTING
[group4] Loaded 375 test cases from D:\project\Final-Year-Project-v1-main\test_cases\group4.csv
[group4] Connected to MySQL
[group4] Running TC1126 | F076 | Positive
[group4] Running TC1127 | F076 | Positive
[group4] Running TC1128 | F076 | Positive
[group4] Running TC1129 | F076 | Positive
[group4] Running TC1130 | F076 | Positive
[group4] Running TC1131 | F076 | Negative
[group4] Running TC1132 | F076 | Negative
[group4] Running TC1133 | F076 | Negative
[group4] Running TC1134 | F076 | Negative
[group4] Running TC1135 | F076 | Negative
[group4] Running TC1136 | F076 | Edge
[group4] Running TC1137 | F076 | Edge
[group4] Running TC1138 | F076 | Edge
[group4] Running TC1139 | F076 | Edge
[group4] Running TC1140 | F076 | Edge
[group4] Running TC1141 | F077 | Positive
[group4] Running TC1142 | F077 | Positive
[group4] Running TC1143 | F077 | Positive
[group4] Running TC1144 | F077 | Positive
[group4] Running TC1145 | F077 | Positive
[group4] Running TC1146 | F077 | Negative
[group4] Running TC1147 | F077 | Negative
[group4] Running TC1148 | F077 | Negative
[group4] Running TC1149 | F077 | Negative
[group4] Running TC1150 | F077 | Negative
[group4] Running TC1151 | F077 | Edge
[group4] Running TC1152 | F077 | Edge
[group4] Running TC1153 | F077 | Edge
[group4] Running TC1154 | F077 | Edge
[group4] Running TC1155 | F077 | Edge
[group4] Running TC1156 | F078 | Positive
[group4] Running TC1157 | F078 | Positive
[group4] Running TC1158 | F078 | Positive
[group4] Running TC1159 | F078 | Positive
[group4] Running TC1160 | F078 | Positive
[group4] Running TC1161 | F078 | Negative
[group4] Running TC1162 | F078 | Negative
[group4] Running TC1163 | F078 | Negative
[group4] Running TC1164 | F078 | Negative
[group4] Running TC1165 | F078 | Negative
[group4] Running TC1166 | F078 | Edge
[group4] Running TC1167 | F078 | Edge
[group4] Running TC1168 | F078 | Edge
[group4] Running TC1169 | F078 | Edge
[group4] Running TC1170 | F078 | Edge
[group4] Running TC1171 | F079 | Positive
[group4] Running TC1172 | F079 | Positive
[group4] Running TC1173 | F079 | Positive
[group4] Running TC1174 | F079 | Positive
[group4] Running TC1175 | F079 | Positive
[group4] Running TC1176 | F079 | Negative
[group4] Running TC1177 | F079 | Negative
[group4] Running TC1178 | F079 | Negative
[group4] Running TC1179 | F079 | Negative
[group4] Running TC1180 | F079 | Negative
[group4] Running TC1181 | F079 | Edge
