[group1] AI MYSQL AUTOMATED TESTING
[group1] Loaded 375 test cases from D:\project\Final-Year-Project-v1-main\test_cases\group1.csv
[group1] Connected to MySQL
[group1] Running TC001 | F001 | Positive
[group1] Running TC002 | F001 | Positive
[group1] Running TC003 | F001 | Positive
[group1] Running TC004 | F001 | Positive
[group1] Running TC005 | F001 | Positive
[group1] Running TC006 | F001 | Negative
[group1] Running TC007 | F001 | Negative
[group1] Running TC008 | F001 | Negative
[group1] Running TC009 | F001 | Negative
[group1] Running TC010 | F001 | Negative
[group1] Running TC011 | F001 | Edge
[group1] Running TC012 | F001 | Edge
[group1] Running TC013 | F001 | Edge
[group1] Running TC014 | F001 | Edge
[group1] Running TC015 | F001 | Edge
[group1] Running TC016 | F002 | Positive
[group1] Running TC017 | F002 | Positive
[group1] Running TC018 | F002 | Positive
[group1] Running TC019 | F002 | Positive
[group1] Running TC020 | F002 | Positive
[group1] Running TC021 | F002 | Negative
[group1] Running TC022 | F002 | Negative
[group1] Running TC023 | F002 | Negative
[group1] Running TC024 | F002 | Negative
[group1] Running TC025 | F002 | Negative
[group1] Running TC026 | F002 | Edge
[group1] Running TC027 | F002 | Edge
[group1] Running TC028 | F002 | Edge
[group1] Running TC029 | F002 | Edge
[group1] Running TC030 | F002 | Edge
[group1] Running TC031 | F003 | Positive
[group1] Running TC032 | F003 | Positive
[group1] Running TC033 | F003 | Positive
[group1] Running TC034 | F003 | Positive
[group1] Running TC035 | F003 | Positive
[group1] Running TC036 | F003 | Negative
[group1] Running TC037 | F003 | Negative
[group1] Running TC038 | F003 | Negative
[group1] Running TC039 | F003 | Negative
[group1] Running TC040 | F003 | Negative
[group1] Running TC041 | F003 | Edge
[group1] Running TC042 | F003 | Edge
[group1] Running TC043 | F003 | Edge
[group1] Running TC044 | F003 | Edge
[group1] Running TC045 | F003 | Edge
[group1] Running TC046 | F004 | Positive
[group1] Running TC047 | F004 | Positive
[group1] Running TC048 | F004 | Positive
[group1] Running TC049 | F004 | Positive
[group1] Running TC050 | F004 | Positive
[group1] Running TC051 | F004 | Negative
[group1] Running TC052 | F004 | Negative
[group1] Running TC053 | F004 | Negative
[group1] Running TC054 | F004 | Negative
[group1] Running TC055 | F004 | Negative
[group1] Running TC056 | F004 | Edge
[group1] Running TC057 | F004 | Edge
[group1] Running TC058 | F004 | Edge
[group1] Running TC059 | F004 | Edge
[group1] Running TC060 | F004 | Edge
[group1] Running TC061 | F005 | Positive
[group1] Running TC062 | F005 | Positive
[group1] Running TC063 | F005 | Positive
[group1] Running TC064 | F005 | Positive
[group1] Running TC065 | F005 | Positive
[group1] Running TC066 | F005 | Negative
[group1] Running TC067 | F005 | Negative
[group1] Running TC068 | F005 | Negative
[group1] Running TC069 | F005 | Negative
[group1] Running TC070 | F005 | Negative
[group1] Running TC071 | F005 | Edge
[group1] Running TC072 | F005 | Edge
[group1] Running TC073 | F005 | Edge
[group1] Running TC074 | F005 | Edge
[group1] Running TC075 | F005 | Edge
[group1] Running TC076 | F006 | Positive
[group1] Running TC077 | F006 | Positive
[group1] Running TC078 | F006 | Positive
[group1] Running TC079 | F006 | Positive
[group1] Running TC080 | F006 | Positive
[group1] Running TC081 | F006 | Negative
[group1] Running TC082 | F006 | Negative
[group1] Running TC083 | F006 | Negative
[group1] Running TC084 | F006 | Negative
[group1] Running TC085 | F006 | Negative
[group1] Running TC086 | F006 | Edge
[group1] Running TC087 | F006 | Edge
[group1] Running TC088 | F006 | Edge
[group1] Running TC089 | F006 | Edge
[group1] Running TC090 | F006 | Edge
[group1] Running TC091 | F007 | Positive
[group1] Running TC092 | F007 | Positive
[group1] Running TC093 | F007 | Positive
[group1] Running TC094 | F007 | Positive
[group1] Running TC095 | F007 | Positive
[group1] Running TC096 | F007 | Negative
[group1] Running TC097 | F007 | Negative
[group1] Running TC098 | F007 | Negative
[group1] Running TC099 | F007 | Negative
[group1] Running TC100 | F007 | Negative
[group1] Running TC101 | F007 | Edge
[group1] Running TC102 | F007 | Edge
[group1] Running TC103 | F007 | Edge
[group1] Running TC104 | F007 | Edge
[group1] Running TC105 | F007 | Edge
[group1] Running TC106 | F008 | Positive
[group1] Running TC107 | F008 | Positive
[group1] Running TC108 | F008 | Positive
[group1] Running TC109 | F008 | Positive
[group1] Running TC110 | F008 | Positive
[group1] Running TC111 | F008 | Negative
[group1] Running TC112 | F008 | Negative
[group1] Running TC113 | F008 | Negative
[group1] Running TC114 | F008 | Negative
[group1] Running TC115 | F008 | Negative
[group1] Running TC116 | F008 | Edge
[group1] Running TC117 | F008 | Edge
[group1] Running TC118 | F008 | Edge
[group1] Running TC119 | F008 | Edge
[group1] Running TC120 | F008 | Edge
[group1] Running TC121 | F009 | Positive
[group1] Running TC122 | F009 | Positive
[group1] Running TC123 | F009 | Positive
[group1] Running TC124 | F009 | Positive
[group1] Running TC125 | F009 | Positive
[group1] Running TC126 | F009 | Negative
[group1] Running TC127 | F009 | Negative
[group1] Running TC128 | F009 | Negative
[group1] Running TC129 | F009 | Negative
[group1] Running TC130 | F009 | Negative
[group1] Running TC131 | F009 | Edge
[group1] Running TC132 | F009 | Edge
[group1] Running TC133 | F009 | Edge
[group1] Running TC134 | F009 | Edge
[group1] Running TC135 | F009 | Edge
[group1] Running TC136 | F010 | Positive
[group1] Running TC137 | F010 | Positive
[group1] Running TC138 | F010 | Positive
[group1] Running TC139 | F010 | Positive
[group1] Running TC140 | F010 | Positive
[group1] Running TC141 | F010 | Negative
[group1] Running TC142 | F010 | Negative
[group1] Running TC143 | F010 | Negative
[group1] Running TC144 | F010 | Negative
[group1] Running TC145 | F010 | Negative
[group1] Running TC146 | F010 | Edge
[group1] Running TC147 | F010 | Edge
[group1] Running TC148 | F010 | Edge
[group1] Running TC149 | F010 | Edge
[group1] Running TC150 | F010 | Edge
[group1] Running TC151 | F011 | Positive
[group1] Running TC152 | F011 | Positive
[group1] Running TC153 | F011 | Positive
[group1] Running TC154 | F011 | Positive
[group1] Running TC155 | F011 | Positive
[group1] Running TC156 | F011 | Negative
[group1] Running TC157 | F011 | Negative
[group1] Running TC158 | F011 | Negative
[group1] Running TC159 | F011 | Negative
[group1] Running TC160 | F011 | Negative
[group1] Running TC161 | F011 | Edge
[group1] Running TC162 | F011 | Edge
[group1] Running TC163 | F011 | Edge
[group1] Running TC164 | F011 | Edge
[group1] Running TC165 | F011 | Edge
[group1] Running TC166 | F012 | Positive
[group1] Running TC167 | F012 | Positive
[group1] Running TC168 | F012 | Positive
[group1] Running TC169 | F012 | Positive
[group1] Running TC170 | F012 | Positive
[group1] Running TC171 | F012 | Negative
[group1] Running TC172 | F012 | Negative
[group1] Running TC173 | F012 | Negative
[group1] Running TC174 | F012 | Negative
[group1] Running TC175 | F012 | Negative
[group1] Running TC176 | F012 | Edge
[group1] Running TC177 | F012 | Edge
[group1] Running TC178 | F012 | Edge
[group1] Running TC179 | F012 | Edge
[group1] Running TC180 | F012 | Edge
[group1] Running TC181 | F013 | Positive
[group1] Running TC182 | F013 | Positive
[group1] Running TC183 | F013 | Positive
[group1] Running TC184 | F013 | Positive
[group1] Running TC185 | F013 | Positive
[group1] Running TC186 | F013 | Negative
[group1] Running TC187 | F013 | Negative
[group1] Running TC188 | F013 | Negative
[group1] Running TC189 | F013 | Negative
[group1] Running TC190 | F013 | Negative
[group1] Running TC191 | F013 | Edge
[group1] Running TC192 | F013 | Edge
[group1] Running TC193 | F013 | Edge
[group1] Running TC194 | F013 | Edge
[group1] Running TC195 | F013 | Edge
[group1] Running TC196 | F014 | Positive
[group1] Running TC197 | F014 | Positive
[group1] Running TC198 | F014 | Positive
[group1] Running TC199 | F014 | Positive
[group1] Running TC200 | F014 | Positive
[group1] Running TC201 | F014 | Negative
[group1] Running TC202 | F014 | Negative
[group1] Running TC203 | F014 | Negative
[group1] Running TC204 | F014 | Negative
[group1] Running TC205 | F014 | Negative
[group1] Running TC206 | F014 | Edge
[group1] Running TC207 | F014 | Edge
[group1] Running TC208 | F014 | Edge
[group1] Running TC209 | F014 | Edge
[group1] Running TC210 | F014 | Edge
[group1] Running TC211 | F015 | Positive
[group1] Running TC212 | F015 | Positive
[group1] Running TC213 | F015 | Positive
[group1] Running TC214 | F015 | Positive
[group1] Running TC215 | F015 | Positive
[group1] Running TC216 | F015 | Negative
[group1] Running TC217 | F015 | Negative
[group1] Running TC218 | F015 | Negative
[group1] Running TC219 | F015 | Negative
[group1] Running TC220 | F015 | Negative
[group1] Running TC221 | F015 | Edge
[group1] Running TC222 | F015 | Edge
[group1] Running TC223 | F015 | Edge
[group1] Running TC224 | F015 | Edge
[group1] Running TC225 | F015 | Edge
[group1] Running TC226 | F016 | Positive
[group1] Running TC227 | F016 | Positive
[group1] Running TC228 | F016 | Positive
[group1] Running TC229 | F016 | Positive
[group1] Running TC230 | F016 | Positive
[group1] Running TC231 | F016 | Negative
[group1] Running TC232 | F016 | Negative
[group1] Running TC233 | F016 | Negative
[group1] Running TC234 | F016 | Negative
[group1] Running TC235 | F016 | Negative
[group1] Running TC236 | F016 | Edge
[group1] Running TC237 | F016 | Edge
[group1] Running TC238 | F016 | Edge
[group1] Running TC239 | F016 | Edge
[group1] Running TC240 | F016 | Edge
[group1] Running TC241 | F017 | Positive
[group1] Running TC242 | F017 | Positive
[group1] Running TC243 | F017 | Positive
[group1] Running TC244 | F017 | Positive
[group1] Running TC245 | F017 | Positive
[group1] Running TC246 | F017 | Negative
[group1] Running TC247 | F017 | Negative
[group1] Running TC248 | F017 | Negative
[group1] Running TC249 | F017 | Negative
[group1] Running TC250 | F017 | Negative
[group1] Running TC251 | F017 | Edge
[group1] Running TC252 | F017 | Edge
[group1] Running TC253 | F017 | Edge
[group1] Running TC254 | F017 | Edge
[group1] Running TC255 | F017 | Edge
[group1] Running TC256 | F018 | Positive
[group1] Running TC257 | F018 | Positive
[group1] Running TC258 | F018 | Positive
[group1] Running TC259 | F018 | Positive
[group1] Running TC260 | F018 | Positive
[group1] Running TC261 | F018 | Negative
[group1] Running TC262 | F018 | Negative
[group1] Running TC263 | F018 | Negative
[group1] Running TC264 | F018 | Negative
[group1] Running TC265 | F018 | Negative
[group1] Running TC266 | F018 | Edge
[group1] Running TC267 | F018 | Edge
[group1] Running TC268 | F018 | Edge
[group1] Running TC269 | F018 | Edge
[group1] Running TC270 | F018 | Edge
[group1] Running TC271 | F019 | Positive
[group1] Running TC272 | F019 | Positive
[group1] Running TC273 | F019 | Positive
[group1] Running TC274 | F019 | Positive
[group1] Running TC275 | F019 | Positive
[group1] Running TC276 | F019 | Negative
[group1] Running TC277 | F019 | Negative
[group1] Running TC278 | F019 | Negative
[group1] Running TC279 | F019 | Negative
[group1] Running TC280 | F019 | Negative
[group1] Running TC281 | F019 | Edge
[group1] Running TC282 | F019 | Edge
[group1] Running TC283 | F019 | Edge
[group1] Running TC284 | F019 | Edge
[group1] Running TC285 | F019 | Edge
[group1] Running TC286 | F020 | Positive
[group1] Running TC287 | F020 | Positive
[group1] Running TC288 | F020 | Positive
[group1] Running TC289 | F020 | Positive
[group1] Running TC290 | F020 | Positive
[group1] Running TC291 | F020 | Negative
[group1] Running TC292 | F020 | Negative
[group1] Running TC293 | F020 | Negative
[group1] Running TC294 | F020 | Negative
[group1] Running TC295 | F020 | Negative
[group1] Running TC296 | F020 | Edge
[group1] Running TC297 | F020 | Edge
[group1] Running TC298 | F020 | Edge
[group1] Running TC299 | F020 | Edge
[group1] Running TC300 | F020 | Edge
[group1] Running TC301 | F021 | Positive
[group1] Running TC302 | F021 | Positive
[group1] Running TC303 | F021 | Positive
[group1] Running TC304 | F021 | Positive
[group1] Running TC305 | F021 | Positive
[group1] Running TC306 | F021 | Negative
[group1] Running TC307 | F021 | Negative
[group1] Running TC308 | F021 | Negative
[group1] Running TC309 | F021 | Negative
[group1] Running TC310 | F021 | Negative
[group1] Running TC311 | F021 | Edge
[group1] Running TC312 | F021 | Edge
[group1] Running TC313 | F021 | Edge
[group1] Running TC314 | F021 | Edge
[group1] Running TC315 | F021 | Edge
[group1] Running TC316 | F022 | Positive
[group1] Running TC317 | F022 | Positive
[group1] Running TC318 | F022 | Positive
[group1] Running TC319 | F022 | Positive
[group1] Running TC320 | F022 | Positive
[group1] Running TC321 | F022 | Negative
[group1] Running TC322 | F022 | Negative
[group1] Running TC323 | F022 | Negative
[group1] Running TC324 | F022 | Negative
[group1] Running TC325 | F022 | Negative
[group1] Running TC326 | F022 | Edge
[group1] Running TC327 | F022 | Edge
[group1] Running TC328 | F022 | Edge
[group1] Running TC329 | F022 | Edge
[group1] Running TC330 | F022 | Edge
[group1] Running TC331 | F023 | Positive
[group1] Running TC332 | F023 | Positive
[group1] Running TC333 | F023 | Positive
[group1] Running TC334 | F023 | Positive
[group1] Running TC335 | F023 | Positive
[group1] Running TC336 | F023 | Negative
[group1] Running TC337 | F023 | Negative
[group1] Running TC338 | F023 | Negative
[group1] Running TC339 | F023 | Negative
[group1] Running TC340 | F023 | Negative
[group1] Running TC341 | F023 | Edge
[group1] Running TC342 | F023 | Edge
[group1] Running TC343 | F023 | Edge
[group1] Running TC344 | F023 | Edge
[group1] Running TC345 | F023 | Edge
[group1] Running TC346 | F024 | Positive
[group1] Running TC347 | F024 | Positive
[group1] Running TC348 | F024 | Positive
[group1] Running TC349 | F024 | Positive
[group1] Running TC350 | F024 | Positive
[group1] Running TC351 | F024 | Negative
[group1] Running TC352 | F024 | Negative
[group1] Running TC353 | F024 | Negative
[group1] Running TC354 | F024 | Negative
[group1] Running TC355 | F024 | Negative
[group1] Running TC356 | F024 | Edge
[group1] Running TC357 | F024 | Edge
[group1] Running TC358 | F024 | Edge
[group1] Running TC359 | F024 | Edge
[group1] Running TC360 | F024 | Edge
[group1] Running TC361 | F025 | Positive
[group1] Running TC362 | F025 | Positive
[group1] Running TC363 | F025 | Positive
[group1] Running TC364 | F025 | Positive
[group1] Running TC365 | F025 | Positive
[group1] Running TC366 | F025 | Negative
[group1] Running TC367 | F025 | Negative
[group1] Running TC368 | F025 | Negative
[group1] Running TC369 | F025 | Negative
[group1] Running TC370 | F025 | Negative
[group1] Running TC371 | F025 | Edge
[group1] Running TC372 | F025 | Edge
[group1] Running TC373 | F025 | Edge
[group1] Running TC374 | F025 | Edge
[group1] Running TC375 | F025 | Edge
[group1] Summary: 375/375 passed; 0 failed; 100.00% pass rate
[group1] Response file saved: D:\project\Final-Year-Project-v1-main\reports\response_group1.txt
