[group3] AI MYSQL AUTOMATED TESTING
[group3] Loaded 375 test cases from D:\project\Final-Year-Project-v1-main\test_cases\group3.csv
[group3] Connected to MySQL
[group3] Running TC751 | F051 | Positive
[group3] Running TC752 | F051 | Positive
[group3] Running TC753 | F051 | Positive
[group3] Running TC754 | F051 | Positive
[group3] Running TC755 | F051 | Positive
[group3] Running TC756 | F051 | Negative
[group3] Running TC757 | F051 | Negative
[group3] Running TC758 | F051 | Negative
[group3] Running TC759 | F051 | Negative
[group3] Running TC760 | F051 | Negative
[group3] Running TC761 | F051 | Edge
[group3] Running TC762 | F051 | Edge
[group3] Running TC763 | F051 | Edge
[group3] Running TC764 | F051 | Edge
[group3] Running TC765 | F051 | Edge
[group3] Running TC766 | F052 | Positive
[group3] Running TC767 | F052 | Positive
[group3] Running TC768 | F052 | Positive
[group3] Running TC769 | F052 | Positive
[group3] Running TC770 | F052 | Positive
[group3] Running TC771 | F052 | Negative
[group3] Running TC772 | F052 | Negative
[group3] Running TC773 | F052 | Negative
[group3] Running TC774 | F052 | Negative
[group3] Running TC775 | F052 | Negative
[group3] Running TC776 | F052 | Edge
[group3] Running TC777 | F052 | Edge
[group3] Running TC778 | F052 | Edge
[group3] Running TC779 | F052 | Edge
[group3] Running TC780 | F052 | Edge
[group3] Running TC781 | F053 | Positive
[group3] Running TC782 | F053 | Positive
[group3] Running TC783 | F053 | Positive
[group3] Running TC784 | F053 | Positive
[group3] Running TC785 | F053 | Positive
[group3] Running TC786 | F053 | Negative
[group3] Running TC787 | F053 | Negative
[group3] Running TC788 | F053 | Negative
[group3] Running TC789 | F053 | Negative
[group3] Running TC790 | F053 | Negative
[group3] Running TC791 | F053 | Edge
[group3] Running TC792 | F053 | Edge
[group3] Running TC793 | F053 | Edge
[group3] Running TC794 | F053 | Edge
[group3] Running TC795 | F053 | Edge
[group3] Running TC796 | F054 | Positive
[group3] Running TC797 | F054 | Positive
[group3] Running TC798 | F054 | Positive
[group3] Running TC799 | F054 | Positive
[group3] Running TC800 | F054 | Positive
[group3] Running TC801 | F054 | Negative
[group3] Running TC802 | F054 | Negative
[group3] Running TC803 | F054 | Negative
[group3] Running TC804 | F054 | Negative
[group3] Running TC805 | F054 | Negative
[group3] Running TC806 | F054 | Edge
[group3] Running TC807 | F054 | Edge
[group3] Running TC808 | F054 | Edge
[group3] Running TC809 | F054 | Edge
[group3] Running TC810 | F054 | Edge
[group3] Running TC811 | F055 | Positive
[group3] Running TC812 | F055 | Positive
[group3] Running TC813 | F055 | Positive
[group3] Running TC814 | F055 | Positive
[group3] Running TC815 | F055 | Positive
[group3] Running TC816 | F055 | Negative
[group3] Running TC817 | F055 | Negative
[group3] Running TC818 | F055 | Negative
[group3] Running TC819 | F055 | Negative
[group3] Running TC820 | F055 | Negative
[group3] Running TC821 | F055 | Edge
[group3] Running TC822 | F055 | Edge
[group3] Running TC823 | F055 | Edge
[group3] Running TC824 | F055 | Edge
[group3] Running TC825 | F055 | Edge
[group3] Running TC826 | F056 | Positive
[group3] Running TC827 | F056 | Positive
[group3] Running TC828 | F056 | Positive
[group3] Running TC829 | F056 | Positive
[group3] Running TC830 | F056 | Positive
[group3] Running TC831 | F056 | Negative
[group3] Running TC832 | F056 | Negative
[group3] Running TC833 | F056 | Negative
[group3] Running TC834 | F056 | Negative
[group3] Running TC835 | F056 | Negative
[group3] Running TC836 | F056 | Edge
[group3] Running TC837 | F056 | Edge
[group3] Running TC838 | F056 | Edge
[group3] Running TC839 | F056 | Edge
[group3] Running TC840 | F056 | Edge
[group3] Running TC841 | F057 | Positive
[group3] Running TC842 | F057 | Positive
[group3] Running TC843 | F057 | Positive
[group3] Running TC844 | F057 | Positive
[group3] Running TC845 | F057 | Positive
[group3] Running TC846 | F057 | Negative
[group3] Running TC847 | F057 | Negative
[group3] Running TC848 | F057 | Negative
[group3] Running TC849 | F057 | Negative
[group3] Running TC850 | F057 | Negative
[group3] Running TC851 | F057 | Edge
[group3] Running TC852 | F057 | Edge
[group3] Running TC853 | F057 | Edge
[group3] Running TC854 | F057 | Edge
[group3] Running TC855 | F057 | Edge
[group3] Running TC856 | F058 | Positive
[group3] Running TC857 | F058 | Positive
[group3] Running TC858 | F058 | Positive
[group3] Running TC859 | F058 | Positive
[group3] Running TC860 | F058 | Positive
[group3] Running TC861 | F058 | Negative
[group3] Running TC862 | F058 | Negative
[group3] Running TC863 | F058 | Negative
[group3] Running TC864 | F058 | Negative
[group3] Running TC865 | F058 | Negative
[group3] Running TC866 | F058 | Edge
[group3] Running TC867 | F058 | Edge
[group3] Running TC868 | F058 | Edge
[group3] Running TC869 | F058 | Edge
[group3] Running TC870 | F058 | Edge
[group3] Running TC871 | F059 | Positive
[group3] Running TC872 | F059 | Positive
[group3] Running TC873 | F059 | Positive
[group3] Running TC874 | F059 | Positive
[group3] Running TC875 | F059 | Positive
[group3] Running TC876 | F059 | Negative
[group3] Running TC877 | F059 | Negative
[group3] Running TC878 | F059 | Negative
[group3] Running TC879 | F059 | Negative
[group3] Running TC880 | F059 | Negative
[group3] Running TC881 | F059 | Edge
[group3] Running TC882 | F059 | Edge
[group3] Running TC883 | F059 | Edge
[group3] Running TC884 | F059 | Edge
[group3] Running TC885 | F059 | Edge
[group3] Running TC886 | F060 | Positive
[group3] Running TC887 | F060 | Positive
[group3] Running TC888 | F060 | Positive
[group3] Running TC889 | F060 | Positive
[group3] Running TC890 | F060 | Positive
[group3] Running TC891 | F060 | Negative
[group3] Running TC892 | F060 | Negative
[group3] Running TC893 | F060 | Negative
[group3] Running TC894 | F060 | Negative
[group3] Running TC895 | F060 | Negative
[group3] Running TC896 | F060 | Edge
[group3] Running TC897 | F060 | Edge
[group3] Running TC898 | F060 | Edge
[group3] Running TC899 | F060 | Edge
[group3] Running TC900 | F060 | Edge
[group3] Running TC901 | F061 | Positive
[group3] Running TC902 | F061 | Positive
[group3] Running TC903 | F061 | Positive
[group3] Running TC904 | F061 | Positive
[group3] Running TC905 | F061 | Positive
[group3] Running TC906 | F061 | Negative
[group3] Running TC907 | F061 | Negative
[group3] Running TC908 | F061 | Negative
[group3] Running TC909 | F061 | Negative
[group3] Running TC910 | F061 | Negative
[group3] Running TC911 | F061 | Edge
[group3] Running TC912 | F061 | Edge
[group3] Running TC913 | F061 | Edge
[group3] Running TC914 | F061 | Edge
[group3] Running TC915 | F061 | Edge
[group3] Running TC916 | F062 | Positive
[group3] Running TC917 | F062 | Positive
[group3] Running TC918 | F062 | Positive
[group3] Running TC919 | F062 | Positive
[group3] Running TC920 | F062 | Positive
