[group2] AI MYSQL AUTOMATED TESTING
[group2] Loaded 375 test cases from D:\project\Final-Year-Project-v1-main\test_cases\group2.csv
[group2] Connected to MySQL
[group2] Running TC540 | F036 | Edge
[group2] Running TC541 | F037 | Positive
[group2] Running TC542 | F037 | Positive
[group2] Running TC543 | F037 | Positive
[group2] Running TC544 | F037 | Positive
[group2] Running TC545 | F037 | Positive
[group2] Running TC546 | F037 | Negative
[group2] Running TC547 | F037 | Negative
[group2] Running TC548 | F037 | Negative
[group2] Running TC549 | F037 | Negative
[group2] Running TC550 | F037 | Negative
[group2] Running TC551 | F037 | Edge
[group2] Running TC552 | F037 | Edge
[group2] Running TC553 | F037 | Edge
[group2] Running TC554 | F037 | Edge
[group2] Running TC555 | F037 | Edge
[group2] Running TC556 | F038 | Positive
[group2] Running TC557 | F038 | Positive
[group2] Running TC558 | F038 | Positive
[group2] Running TC559 | F038 | Positive
[group2] Running TC560 | F038 | Positive
[group2] Running TC561 | F038 | Negative
[group2] Running TC562 | F038 | Negative
[group2] Running TC563 | F038 | Negative
[group2] Running TC564 | F038 | Negative
[group2] Running TC565 | F038 | Negative
[group2] Running TC566 | F038 | Edge
[group2] Running TC567 | F038 | Edge
[group2] Running TC568 | F038 | Edge
[group2] Running TC569 | F038 | Edge
[group2] Running TC570 | F038 | Edge
[group2] Running TC571 | F039 | Positive
[group2] Running TC572 | F039 | Positive
[group2] Running TC573 | F039 | Positive
[group2] Running TC574 | F039 | Positive
[group2] Running TC575 | F039 | Positive
[group2] Running TC576 | F039 | Negative
[group2] Running TC577 | F039 | Negative
[group2] Running TC578 | F039 | Negative
[group2] Running TC579 | F039 | Negative
[group2] Running TC580 | F039 | Negative
[group2] Running TC581 | F039 | Edge
[group2] Running TC582 | F039 | Edge
[group2] Running TC583 | F039 | Edge
[group2] Running TC584 | F039 | Edge
[group2] Running TC585 | F039 | Edge
[group2] Running TC586 | F040 | Positive
[group2] Running TC587 | F040 | Positive
[group2] Running TC588 | F040 | Positive
[group2] Running TC589 | F040 | Positive
[group2] Running TC590 | F040 | Positive
[group2] Running TC591 | F040 | Negative
[group2] Running TC592 | F040 | Negative
[group2] Running TC593 | F040 | Negative
[group2] Running TC594 | F040 | Negative
[group2] Running TC595 | F040 | Negative
[group2] Running TC596 | F040 | Edge
[group2] Running TC597 | F040 | Edge
[group2] Running TC598 | F040 | Edge
[group2] Running TC599 | F040 | Edge
[group2] Running TC600 | F040 | Edge
[group2] Running TC601 | F041 | Positive
[group2] Running TC602 | F041 | Positive
[group2] Running TC603 | F041 | Positive
[group2] Running TC604 | F041 | Positive
[group2] Running TC605 | F041 | Positive
[group2] Running TC606 | F041 | Negative
[group2] Running TC607 | F041 | Negative
[group2] Running TC608 | F041 | Negative
[group2] Running TC609 | F041 | Negative
[group2] Running TC610 | F041 | Negative
[group2] Running TC611 | F041 | Edge
[group2] Running TC612 | F041 | Edge
[group2] Running TC613 | F041 | Edge
[group2] Running TC614 | F041 | Edge
[group2] Running TC615 | F041 | Edge
[group2] Running TC616 | F042 | Positive
[group2] Running TC617 | F042 | Positive
[group2] Running TC618 | F042 | Positive
[group2] Running TC619 | F042 | Positive
[group2] Running TC620 | F042 | Positive
[group2] Running TC621 | F042 | Negative
[group2] Running TC622 | F042 | Negative
[group2] Running TC623 | F042 | Negative
[group2] Running TC624 | F042 | Negative
[group2] Running TC625 | F042 | Negative
[group2] Running TC626 | F042 | Edge
[group2] Running TC627 | F042 | Edge
[group2] Running TC628 | F042 | Edge
[group2] Running TC629 | F042 | Edge
[group2] Running TC630 | F042 | Edge
[group2] Running TC631 | F043 | Positive
[group2] Running TC632 | F043 | Positive
[group2] Running TC633 | F043 | Positive
[group2] Running TC634 | F043 | Positive
[group2] Running TC635 | F043 | Positive
[group2] Running TC636 | F043 | Negative
[group2] Running TC637 | F043 | Negative
[group2] Running TC638 | F043 | Negative
[group2] Running TC639 | F043 | Negative
[group2] Running TC640 | F043 | Negative
[group2] Running TC641 | F043 | Edge
[group2] Running TC642 | F043 | Edge
[group2] Running TC643 | F043 | Edge
[group2] Running TC644 | F043 | Edge
[group2] Running TC645 | F043 | Edge
[group2] Running TC646 | F044 | Positive
[group2] Running TC647 | F044 | Positive
[group2] Running TC648 | F044 | Positive
[group2] Running TC649 | F044 | Positive
[group2] Running TC650 | F044 | Positive
[group2] Running TC651 | F044 | Negative
[group2] Running TC652 | F044 | Negative
[group2] Running TC653 | F044 | Negative
[group2] Running TC654 | F044 | Negative
[group2] Running TC655 | F044 | Negative
[group2] Running TC656 | F044 | Edge
[group2] Running TC657 | F044 | Edge
[group2] Running TC658 | F044 | Edge
[group2] Running TC659 | F044 | Edge
[group2] Running TC660 | F044 | Edge
[group2] Running TC661 | F045 | Positive
[group2] Running TC662 | F045 | Positive
[group2] Running TC663 | F045 | Positive
[group2] Running TC664 | F045 | Positive
[group2] Running TC665 | F045 | Positive
[group2] Running TC666 | F045 | Negative
[group2] Running TC667 | F045 | Negative
[group2] Running TC668 | F045 | Negative
[group2] Running TC669 | F045 | Negative
[group2] Running TC670 | F045 | Negative
[group2] Running TC671 | F045 | Edge
[group2] Running TC672 | F045 | Edge
[group2] Running TC673 | F045 | Edge
[group2] Running TC674 | F045 | Edge
[group2] Running TC675 | F045 | Edge
[group2] Running TC676 | F046 | Positive
[group2] Running TC677 | F046 | Positive
[group2] Running TC678 | F046 | Positive
[group2] Running TC679 | F046 | Positive
[group2] Running TC680 | F046 | Positive
[group2] Running TC681 | F046 | Negative
[group2] Running TC682 | F046 | Negative
[group2] Running TC683 | F046 | Negative
[group2] Running TC684 | F046 | Negative
[group2] Running TC685 | F046 | Negative
[group2] Running TC686 | F046 | Edge
[group2] Running TC687 | F046 | Edge
[group2] Running TC688 | F046 | Edge
[group2] Running TC689 | F046 | Edge
[group2] Running TC690 | F046 | Edge
[group2] Running TC691 | F047 | Positive
[group2] Running TC692 | F047 | Positive
[group2] Running TC693 | F047 | Positive
[group2] Running TC694 | F047 | Positive
[group2] Running TC695 | F047 | Positive
[group2] Running TC696 | F047 | Negative
[group2] Running TC697 | F047 | Negative
[group2] Running TC698 | F047 | Negative
[group2] Running TC699 | F047 | Negative
[group2] Running TC700 | F047 | Negative
[group2] Running TC701 | F047 | Edge
[group2] Running TC702 | F047 | Edge
[group2] Running TC703 | F047 | Edge
[group2] Running TC704 | F047 | Edge
[group2] Running TC705 | F047 | Edge
[group2] Running TC706 | F048 | Positive
[group2] Running TC707 | F048 | Positive
[group2] Running TC708 | F048 | Positive
[group2] Running TC709 | F048 | Positive
[group2] Running TC710 | F048 | Positive
[group2] Running TC711 | F048 | Negative
[group2] Running TC712 | F048 | Negative
[group2] Running TC713 | F048 | Negative
[group2] Running TC714 | F048 | Negative
[group2] Running TC715 | F048 | Negative
[group2] Running TC716 | F048 | Edge
[group2] Running TC717 | F048 | Edge
[group2] Running TC718 | F048 | Edge
[group2] Running TC719 | F048 | Edge
[group2] Running TC720 | F048 | Edge
[group2] Running TC721 | F049 | Positive
[group2] Running TC722 | F049 | Positive
[group2] Running TC723 | F049 | Positive
[group2] Running TC724 | F049 | Positive
[group2] Running TC725 | F049 | Positive
[group2] Running TC726 | F049 | Negative
[group2] Running TC727 | F049 | Negative
[group2] Running TC728 | F049 | Negative
[group2] Running TC729 | F049 | Negative
[group2] Running TC730 | F049 | Negative
[group2] Running TC731 | F049 | Edge
[group2] Running TC732 | F049 | Edge
[group2] Running TC733 | F049 | Edge
[group2] Running TC734 | F049 | Edge
[group2] Running TC735 | F049 | Edge
[group2] Running TC736 | F050 | Positive
[group2] Running TC737 | F050 | Positive
[group2] Running TC738 | F050 | Positive
[group2] Running TC739 | F050 | Positive
[group2] Running TC740 | F050 | Positive
[group2] Running TC741 | F050 | Negative
[group2] Running TC742 | F050 | Negative
[group2] Running TC743 | F050 | Negative
[group2] Running TC744 | F050 | Negative
[group2] Running TC745 | F050 | Negative
[group2] Running TC746 | F050 | Edge
[group2] Running TC747 | F050 | Edge
[group2] Running TC748 | F050 | Edge
[group2] Running TC749 | F050 | Edge
[group2] Running TC750 | F050 | Edge
[group2] Summary: 375/375 passed; 0 failed; 100.00% pass rate
[group2] Response file saved: D:\project\Final-Year-Project-v1-main\reports\response_group2.txt
